2019-11-13 00:52:14.034 DEBUG 32439 --- [           main] .c.l.ClasspathLoggingApplicationListener : Application started with classpath: [file:/Users/jinhobae/git/repository/review/target/surefire/surefirebooter1203842636499560012.jar]
2019-11-13 00:52:14.043 DEBUG 32439 --- [kground-preinit] .h.v.m.ResourceBundleMessageInterpolator : Loaded expression factory via original TCCL
2019-11-13 00:52:14.051 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.messageinterpolation.ResourceBundleMessageInterpolator as ValidatorFactory-scoped message interpolator.
2019-11-13 00:52:14.052 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.resolver.TraverseAllTraversableResolver as ValidatorFactory-scoped traversable resolver.
2019-11-13 00:52:14.052 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.util.ExecutableParameterNameProvider as ValidatorFactory-scoped parameter name provider.
2019-11-13 00:52:14.052 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.DefaultClockProvider as ValidatorFactory-scoped clock provider.
2019-11-13 00:52:14.052 DEBUG 32439 --- [kground-preinit] o.h.v.i.engine.ValidatorFactoryImpl      : HV000234: Using org.hibernate.validator.internal.engine.scripting.DefaultScriptEvaluatorFactory as ValidatorFactory-scoped script evaluator factory.
2019-11-13 00:52:14.140  INFO 32439 --- [           main] c.chicken.review.ReviewApplicationTests  : Starting ReviewApplicationTests on jinhoui-MacBookPro.local with PID 32439 (started by jinhobae in /Users/jinhobae/git/repository/review)
2019-11-13 00:52:14.141 DEBUG 32439 --- [           main] c.chicken.review.ReviewApplicationTests  : Running with Spring Boot v2.1.9.RELEASE, Spring v5.1.10.RELEASE
2019-11-13 00:52:14.216 DEBUG 32439 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [/Users/jinhobae/git/repository/review/target/classes/com/chicken/review/login/controller/UserController.class]
2019-11-13 00:52:14.298 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.messages.basename' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:14.338 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.prefix' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:14.338 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.suffix' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:14.350 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.resources.chain.enabled' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:14.366 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:14.377 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:14.405 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.aop.proxy-target-class' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:14.408 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.aop.proxy-target-class' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:14.412 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.http.encoding.enabled' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.448 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.condition.BeanTypeRegistry'
2019-11-13 00:52:17.480 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.prefix' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.481 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.mvc.view.suffix' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.507 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.resources.chain.enabled' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.521 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
2019-11-13 00:52:17.526 DEBUG 32439 --- [           main] o.s.b.a.AutoConfigurationPackages        : @EnableAutoConfiguration was declared on a class in the package 'com.chicken.review'. Automatic @Repository and @Entity scanning is enabled.
2019-11-13 00:52:17.526 DEBUG 32439 --- [           main] o.m.s.b.a.MybatisAutoConfiguration       : Searching for mappers annotated with @Mapper
2019-11-13 00:52:17.526 DEBUG 32439 --- [           main] o.m.s.b.a.MybatisAutoConfiguration       : Using auto-configuration base package 'com.chicken.review'
2019-11-13 00:52:17.559 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.aop.proxy-target-class' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.568 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.http.encoding.enabled' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.570 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Overriding bean definition for bean 'characterEncodingFilter' with a different definition: replacing [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=reviewApplication; factoryMethodName=characterEncodingFilter; initMethodName=null; destroyMethodName=(inferred); defined in com.chicken.review.ReviewApplication] with [Root bean: class [null]; scope=; abstract=false; lazyInit=false; autowireMode=3; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration; factoryMethodName=characterEncodingFilter; initMethodName=null; destroyMethodName=(inferred); defined in class path resource [org/springframework/boot/autoconfigure/web/servlet/HttpEncodingAutoConfiguration.class]]
2019-11-13 00:52:17.576 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'cloud.aws.region.static' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.576 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'cloud.aws.region.static' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.594 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.mybatis.spring.mapper.MapperScannerConfigurer'
2019-11-13 00:52:17.595 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'credentialsProvider'
2019-11-13 00:52:17.604 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
2019-11-13 00:52:17.611 DEBUG 32439 --- [           main] org.apache.ibatis.logging.LogFactory     : Logging initialized using 'class org.apache.ibatis.logging.commons.JakartaCommonsLoggingImpl' adapter.
2019-11-13 00:52:17.615  WARN 32439 --- [           main] o.m.s.mapper.ClassPathMapperScanner      : No MyBatis mapper was found in '[com.chicken.review]' package. Please check your configuration.
2019-11-13 00:52:17.742 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor'
2019-11-13 00:52:17.760 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
2019-11-13 00:52:17.760 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationBeanFactoryMetadata'
2019-11-13 00:52:17.761 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
2019-11-13 00:52:17.762 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
2019-11-13 00:52:17.762 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
2019-11-13 00:52:17.768 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor$SpyPostProcessor'
2019-11-13 00:52:17.769 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
2019-11-13 00:52:17.770 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
2019-11-13 00:52:17.771 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
2019-11-13 00:52:17.773 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'methodValidationPostProcessor'
2019-11-13 00:52:17.782 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'methodValidationPostProcessor' via factory method to bean named 'environment'
2019-11-13 00:52:17.782 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.aop.proxy-target-class' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.793 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'dataSourceInitializerPostProcessor'
2019-11-13 00:52:17.797 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'persistenceExceptionTranslationPostProcessor'
2019-11-13 00:52:17.798 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'persistenceExceptionTranslationPostProcessor' via factory method to bean named 'environment'
2019-11-13 00:52:17.799 DEBUG 32439 --- [           main] o.s.c.e.PropertySourcesPropertyResolver  : Found key 'spring.aop.proxy-target-class' in PropertySource 'configurationProperties' with value of type String
2019-11-13 00:52:17.807 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
2019-11-13 00:52:17.817 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webServerFactoryCustomizerBeanPostProcessor'
2019-11-13 00:52:17.820 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageRegistrarBeanPostProcessor'
2019-11-13 00:52:17.823 DEBUG 32439 --- [           main] o.s.u.c.s.UiApplicationContextUtils      : Unable to locate ThemeSource with name 'themeSource': using default [org.springframework.ui.context.support.ResourceBundleThemeSource@4a03bb68]
2019-11-13 00:52:17.825 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'reviewApplication'
2019-11-13 00:52:17.829 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionAdvisor'
2019-11-13 00:52:17.830 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration'
2019-11-13 00:52:17.844 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionAttributeSource'
2019-11-13 00:52:17.847 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'transactionInterceptor'
2019-11-13 00:52:17.858 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorConfiguration'
2019-11-13 00:52:17.861 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'staticResourceConfiguration'
2019-11-13 00:52:17.865 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'tilesConfig'
2019-11-13 00:52:17.867 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webSecurityConfig'
2019-11-13 00:52:17.875 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'objectPostProcessor'
2019-11-13 00:52:17.875 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration'
2019-11-13 00:52:17.879 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'objectPostProcessor' via factory method to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@31ff43be'
2019-11-13 00:52:17.889 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mvcContentNegotiationManager'
2019-11-13 00:52:17.889 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration'
2019-11-13 00:52:17.890 DEBUG 32439 --- [           main] ocalVariableTableParameterNameDiscoverer : Cannot find '.class' file for class [class org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration$$EnhancerBySpringCGLIB$$4c6cb42e] - unable to determine constructor/method parameter names
2019-11-13 00:52:17.891 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
2019-11-13 00:52:17.912 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
2019-11-13 00:52:17.913 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$EnableWebMvcConfiguration' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@31ff43be'
2019-11-13 00:52:17.914 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2019-11-13 00:52:17.935 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.security.config.annotation.web.configuration.WebMvcSecurityConfiguration'
2019-11-13 00:52:17.938 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter'
2019-11-13 00:52:17.938 DEBUG 32439 --- [           main] ocalVariableTableParameterNameDiscoverer : Cannot find '.class' file for class [class org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter$$EnhancerBySpringCGLIB$$ee707f13] - unable to determine constructor/method parameter names
2019-11-13 00:52:17.938 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.resources-org.springframework.boot.autoconfigure.web.ResourceProperties'
2019-11-13 00:52:17.939 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'spring.mvc-org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties'
2019-11-13 00:52:17.939 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$WebMvcAutoConfigurationAdapter' via constructor to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@31ff43be'
2019-11-13 00:52:17.939 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'resourceHandlerRegistrationCustomizer'
2019-11-13 00:52:17.940 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration$ResourceChainCustomizerConfiguration'
2019-11-13 00:52:17.964 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration'
2019-11-13 00:52:17.968 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'enableGlobalAuthenticationAutowiredConfigurer'
2019-11-13 00:52:17.968 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'enableGlobalAuthenticationAutowiredConfigurer' via factory method to bean named 'org.springframework.web.context.support.GenericWebApplicationContext@4bff7da0'
2019-11-13 00:52:17.971 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'initializeUserDetailsBeanManagerConfigurer'
2019-11-13 00:52:17.972 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'initializeUserDetailsBeanManagerConfigurer' via factory method to bean named 'org.springframework.web.context.support.GenericWebApplicationContext@4bff7da0'
2019-11-13 00:52:17.974 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'initializeAuthenticationProviderBeanManagerConfigurer'
2019-11-13 00:52:17.975 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'initializeAuthenticationProviderBeanManagerConfigurer' via factory method to bean named 'org.springframework.web.context.support.GenericWebApplicationContext@4bff7da0'
2019-11-13 00:52:17.979 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'userController'
2019-11-13 00:52:17.981 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'webServerFactory'
2019-11-13 00:52:18.009 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'websocketServletWebServerCustomizer'
2019-11-13 00:52:18.010 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.websocket.servlet.WebSocketServletAutoConfiguration$TomcatWebSocketConfiguration'
2019-11-13 00:52:18.016 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'servletWebServerFactoryCustomizer'
2019-11-13 00:52:18.016 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.ServletWebServerFactoryAutoConfiguration'
2019-11-13 00:52:18.020 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2019-11-13 00:52:18.027 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'servletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2019-11-13 00:52:18.031 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'tomcatServletWebServerFactoryCustomizer'
2019-11-13 00:52:18.032 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'tomcatServletWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2019-11-13 00:52:18.033 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'tomcatWebServerFactoryCustomizer'
2019-11-13 00:52:18.034 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.embedded.EmbeddedWebServerFactoryCustomizerAutoConfiguration$TomcatWebServerFactoryCustomizerConfiguration'
2019-11-13 00:52:18.037 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'tomcatWebServerFactoryCustomizer' via factory method to bean named 'environment'
2019-11-13 00:52:18.037 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'tomcatWebServerFactoryCustomizer' via factory method to bean named 'server-org.springframework.boot.autoconfigure.web.ServerProperties'
2019-11-13 00:52:18.042 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'localeCharsetMappingsCustomizer'
2019-11-13 00:52:18.042 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration'
2019-11-13 00:52:18.042 DEBUG 32439 --- [           main] ocalVariableTableParameterNameDiscoverer : Cannot find '.class' file for class [class org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration$$EnhancerBySpringCGLIB$$b4d41a50] - unable to determine constructor/method parameter names
2019-11-13 00:52:18.043 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.http-org.springframework.boot.autoconfigure.http.HttpProperties'
2019-11-13 00:52:18.046 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.web.servlet.HttpEncodingAutoConfiguration' via constructor to bean named 'spring.http-org.springframework.boot.autoconfigure.http.HttpProperties'
2019-11-13 00:52:18.070 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'errorPageCustomizer'
2019-11-13 00:52:18.070 DEBUG 32439 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration'
2019-11-13 00:52:18.071 DEBUG 32439 --- [           main] ocalVariableTableParameterNameDiscoverer : Cannot find '.class' file for class [class org.springframework.boot.autoconfigure.web.servlet.error.ErrorMvcAutoConfiguration$$EnhancerBySpringCGLIB$$d2b6933] - unable to determine constructor/method parameter names
